timestamp,pm2.5,DEWP,TEMP,PRES,log_Iws,log_Is,log_Ir,cbwd
2012-05-21 13:39:25,69.0,15,23.82300499,1004.468336,3.772071045000701,0.0,0.0,SE
2013-01-18 00:23:29,79.0,3,8.500247701,1022.695372,0.636576829071551,0.0,0.0,NE
2014-04-02 06:19:22,35.0,7,11.005142104,1015.692852,1.0260415958332745,0.0,0.0,SE
2012-01-09 03:32:36,35.0,-1,2.278222458,1027.74058,1.5216989981260935,0.0,0.0,SE
2010-03-31 19:38:02,97.0,-12,-0.55064235,1014.140012,2.2027647577118348,0.0,0.0,NW
2012-06-05 14:59:35,130.0,7,14.386956745,1018.543981,0.636576829071551,0.0,0.0,cv
2014-08-06 03:42:39,53.0,-20,-4.974822843,1020.733842,2.9381031607173544,0.0,0.0,NW
2013-06-09 21:18:52,55.0,17,30.446087059599982,1000.0747178,3.992680908445601,0.0,0.0,SE
2010-04-15 10:13:55,23.0,-21,5.017400629,1023.1764,1.7783364488959144,0.0,0.0,NE
2013-01-26 06:47:32,136.0,-10,1.327054767,1030.566625,0.636576829071551,0.0,0.0,SE
2013-02-16 07:00:35,57.0,2,3.562213602,1020.980851,4.0328237055738505,0.0,0.0,SE
2014-10-21 11:53:35,36.0,4,19.636959567,1016.331722,3.554776469590456,0.0,0.0,NW
2014-05-30 16:25:33,10.0,7,21.220348454,1007.022256,1.7783364488959144,0.0,0.0,NW
2010-10-30 13:23:08,12.0,-20,-7.167252459399999,1021.02513,4.748525661471215,0.0,0.0,NW
2013-10-17 00:08:24,278.0,8,8.566523651,1010.830452,1.4182774069729414,0.0,0.0,cv
2011-02-02 08:59:41,3.0,-19,5.52686704,1028.429657,0.636576829071551,0.0,0.0,NW
2011-09-29 07:40:05,52.0,0,23.754330033,1018.586025,2.7568403652716422,0.0,0.0,SE
2014-10-08 10:29:42,34.0,-19,-0.979681646,1033.6279898,3.9417759635774936,0.0,0.0,NW
2013-07-21 20:41:08,97.0,-18,-1.693234046,1025.638442,3.224857896545748,0.0,0.0,SE
2014-04-10 00:24:50,155.0,23,29.840566575,1000.0747178,1.0224509277025458,0.0,0.0,SE
2013-03-23 08:18:28,114.0,23,30.446087059599982,1000.0747178,1.5216989981260935,0.0,0.0,SE
2012-10-01 19:47:04,148.0,-8,15.425909883,1020.377502,1.172482137234565,0.0,0.0,SE
2010-06-10 09:08:38,46.0,-23,-7.167252459399999,1033.6279898,1.9823798288367047,0.0,0.0,SE
2014-11-29 16:40:32,46.0,20,23.258135477,1003.883587,2.6369121732688705,0.0,0.0,SE
2011-10-28 05:19:33,24.0,9,23.864675747,1009.183637,3.697095608885277,0.0,0.0,NW
2012-03-23 08:42:47,3.0,2,16.929152289,1017.157962,3.3575937441800234,0.0,0.0,NW
2011-03-18 11:29:10,245.0,-13,-7.167252459399999,1028.406497,1.0260415958332745,0.0,0.0,NW
2011-02-11 12:39:55,290.0,12,9.445810848,1013.68827,1.918392120161421,0.0,0.0,NW
2014-05-24 23:25:43,82.0,4,23.164101329,1004.761481,1.0224509277025458,0.0,0.0,SE
2011-05-08 09:14:22,122.0,23,30.446087059599982,1009.376791,1.0224509277025458,0.0,0.0,NW
2010-05-20 09:10:44,180.0,-17,-7.167252459399999,1030.603783,1.7783364488959144,0.0,0.0,SE
2011-12-27 14:35:11,26.0,-14,18.571945449,1017.974903,3.82187945557518,0.0,0.0,SE
2011-01-24 11:48:35,56.0,16,25.376061569,1005.947237,2.757475084429733,0.0,0.0,SE
2012-04-19 09:55:35,40.0,14,13.04882858,1012.521854,3.975748696308691,0.0,0.0,SE
2011-11-15 09:53:13,90.0,4,14.13667721,1019.422646,2.0992441689760155,0.0,0.0,NW
2014-05-04 12:59:33,128.0,13,27.878154518,1012.476797,4.284000269375321,0.0,0.0,SE
