timestamp,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,cbwd
2011-02-03 01:48:26,43.0,19,26.365303902,1004.629629,20.65,2,2.0,cv
2014-05-24 09:34:45,65.0,-6,9.125075278,1017.082475,0.91,1,2.0,NE
2014-09-16 01:38:53,229.0,15,10.101065877,1011.911968,12.22,11,4.0,NW
2010-12-29 04:00:07,129.0,-10,-2.955914075,1017.934167,54.65,7,8.0,cv
2012-03-27 14:35:52,129.0,-3,0.753083828,1033.182831,20.23,3,3.0,SE
2011-11-05 22:20:44,177.0,4,10.060814975,1014.387987,2.77,4,5.0,cv
2014-05-18 00:43:27,16.0,-1,4.450237825,1031.381373,2.45,8,1.0,NE
2011-06-03 19:17:37,34.0,24,36.024805522,1002.19074,35.39,2,6.0,SE
2013-04-11 06:33:15,66.0,-18,5.865616559,1031.530966,9.75,1,1.0,NW
2010-06-21 20:50:38,251.0,-8,-0.164744321,1021.696096,9.46,15,6.0,cv
2011-06-11 08:35:49,17.0,2,13.246253227,1010.346654,6.55,2,0.0,NE
2010-09-11 07:46:45,7.0,0,14.91048716,1012.952632,5.18,1,16.0,NW
2012-03-10 21:00:00,22.0,14,18.256071211,1010.871588,4.01,1,11.0,NE
2010-09-21 16:19:27,2.0,-11,-7.694919804,1033.089422,105.49,2,0.0,cv
2010-01-05 22:34:47,100.0,14,9.583821823,1015.701381,1.02,4,13.0,SE
2014-09-11 02:22:58,87.0,-21,-0.194757276,1030.015766,68.68,1,4.0,NW
2010-06-28 08:17:29,127.0,0,18.004386629,1012.904707,98.07,10,6.0,SE
2010-12-24 20:46:57,5.0,-26,3.032792777,1019.72703,2.74,2,2.0,NE
2010-01-31 05:18:10,61.0,-4,4.195957611,1024.545347,12.48,7,3.0,NW
2010-03-02 19:03:50,149.0,26,31.588565236,999.027009,2.11,2,12.0,cv
2012-10-17 08:14:51,145.0,26,37.90662815716,996.511952,24.39,7,9.0,SE
2010-01-23 12:06:45,175.0,3,13.907682369,1017.817607,16.39,10,5.0,cv
2010-05-19 17:57:13,165.0,-24,-9.740379032,1037.307932,145.68,17,2.0,SE
2010-08-07 02:10:14,36.0,24,24.980204705,999.232942,24.78,10,9.0,NW
2014-08-27 20:26:11,122.0,9,18.829715788,1013.709446,17.68,1,5.0,cv
2012-05-07 23:25:49,14.0,-5,9.041685967,1014.780963,144.0,1,8.0,cv
2013-01-29 23:26:37,319.0,-13,-13.075005592,1036.617694,0.96,11,7.0,SE
2010-10-09 03:17:21,70.0,3,11.77389306,1014.630829,0.89,1,2.0,cv
2011-09-08 14:19:16,105.0,20,23.57978838,1014.229684,8.83,6,10.0,NW
2014-08-15 09:09:19,91.0,6,28.77164825,1000.527601,1.17,1,5.0,SE
2010-08-14 21:23:01,195.0,-13,-4.600009201,1028.890507,2.22,3,0.0,cv
2012-10-11 11:27:17,46.0,-6,15.940837413,1024.608525,114.13,11,4.0,SE
2010-11-28 20:15:30,85.0,14,21.659092032,1006.215975,53.17,2,6.0,SE
2012-06-10 17:47:32,31.0,12,17.4142728,1005.021456,29.34,3,0.0,NW
2012-01-19 05:47:34,90.0,-3,10.060257455,1015.974298,5.66,2,5.0,cv
2010-07-31 05:41:13,59.0,13,28.569027348,1003.237476,17.3,15,7.0,cv
2012-09-21 02:12:12,112.0,-19,-8.18425584,1034.660525,22.67,23,1.0,cv
2011-07-16 04:56:39,26.0,-20,-0.880817535,1027.757936,17.58,16,8.0,cv
2012-01-11 01:02:13,23.0,5,13.138538803,1020.828155,9.66,1,9.0,cv
2013-05-24 00:37:05,28.0,26,37.90662815716,998.99665,14.17,2,1.0,NW
2010-11-26 13:26:50,36.0,-13,0.721589277,1025.554173,103.36,2,4.0,SE
2011-01-23 14:29:20,146.0,1,16.87730604,1028.792387,5.14,2,7.0,cv
2013-11-27 10:46:12,238.0,12,16.139957642,1011.963883,1.08,1,3.0,cv
2013-06-20 17:26:50,240.0,9,16.193906232,1014.07256,7.6,3,5.0,NW
2011-08-13 11:15:40,48.0,24,36.56950986,998.457853,1.11,10,1.0,NW
2014-02-28 22:36:19,101.0,1,0.956920581,1025.969948,6.22,14,2.0,NE
2014-04-02 05:31:14,104.0,-10,0.009752688,1016.278931,5.09,1,8.0,SE
2014-09-11 04:26:24,350.0,-4,2.662347703,1030.177668,15.26,3,0.0,NE
2011-08-17 00:35:58,251.0,27,35.621387749,994.79355774,30.56,1,0.0,SE
2010-02-26 00:57:08,65.0,4,22.233437111,999.417146,31.61,1,2.0,NW
2014-01-28 09:11:09,77.0,0,14.923822879,1011.853833,1.34,6,1.0,NW
